Id,World Population Live,Class,Gender,Location,Winter,Summer,Monsoon,Age,Name,Occupation,Timeline,Routine,Industry,Product,Sensing,Company Name,Listed ,No of Company,Idea Purpose (Product),Idea Purpose (Company),Product Action Company,Finance & Investment Company,Infrastructure Construction Company,Raw Material (BOM) Company,Production Machinery (Making or Manufacturing) Company,Testing (Certification) Company,Packaging Company,Storage Company,Distribution Transport Company ,Marketing Company,Sub Product & Service (Alied Product & Service),Sell - Physical/Virtual,Profit - Physical/Virtual,Recycle Comapany,Carbon Credit,History,Future,Present,Tech Updation,Digital- Ecommerce / Screen ,Ai,IOT,Block Chain,Quantum Level,Digital Twin,Reserch - Personalize Customization,Earth,Orbit,Space,Multi Planet
0,8215424893,P-M-R-UHNI,Male/Female,"Sea, River, Mountain, Forest, Desert, Snow, City, Village",Cold String - Low Vibration,Hot String - High Vibration,Medium String - Static Vibration,0,Baby Birth,Pragnancy,1 Month,Garbh Sanskar,"Digital & IT, Ai",Digital Application,"Touch, Observation, Think","RELIANCE, BHARTIARTL, IDEA, TTML, DIXON, INDUSTOWER, HFCL, BONDADA, SUYOG, TEJASNET, STLTECH, ITI",NSE/BSE,14,Paper & Computer ,"J.K Paper, West Coast Paper, Reliance, HCL Tech, TVS Electronics Ltd","We Work, Likhami Consulting Ltd","State Bank of India, Kotak Bank, Bank of Baroda","Ambuja Cement, UltraTech, Grasim, Jsw Steel, Asahi India Glass, Honeywell, Schneider Electric, KEI Industries, Polycab, HFCL Ltd, D-link (India) Ltd, NTPC, Adani Green, CG Power & Industrial, Thermax Ltd, Emmvee Photovoltaic Power Ltd","Vedanta Ltd, Mishra Dhatu Nigam Ltd, Pondy Oxides & Chemicals Ltd, Innomet Advanced Materials Ltd, Bonlon Industries Ltd","ABB India Ltd, Siemens Energy India Ltd, GE Vernova T&D India Ltd, Jyoti CNC Automation Ltd, ","Qualitek Labs Ltd, Syrma SGS Technology Ltd","TCPL Packaging Ltd, EPL Ltd, XPRO India Ltd",Storage Technologies & Automation Ltd,"VRL Logistics Ltd, Delhivery Ltd, Container Corporation Of India Ltd, Shadowfax Technologies Ltd, Blue Dart Express Ltd","Signpost India Ltd, Bright Outdoor Media Ltd, R K Swamy Ltd, Vertoz Ltd, Yaap Digital Ltd","Aditya Infotech Ltd, Forbes Precision Tools & Machine Parts Ltd, Polyplex Corporation Ltd, KRN Heat Exchanger and Refrigeration Ltd, Esab India Ltd, Inox India Ltd, HBL Engineering Ltd","Indiamart Intermesh Ltd, Just Dial Ltd, Electronics Mart India Ltd, Vishal Mega Mart Ltd, Trent Ltd, Reliance Industries Ltd, Rashi Peripherals Ltd","State Bank of India, HDFC Bank Ltd, Axis Bank Ltd, IndusInd Bank Ltd","Jain Resource Recycling Ltd, Eco Recycling Ltd, Namo eWaste Management Ltd,",EKI Energy Services Ltd,,,,,,,,,,,,,,,
0,8215424893,P-M-R-UHNI,Male/Female,"Sea, River, Mountain, Forest, Desert, Snow, City, Village",Cold String - Low Vibration,Hot String - High Vibration,Medium String - Static Vibration,0,Baby Birth,Pragnancy,2 Month,Food,Food & Drink,Healthy ,Test & Smell,"ITC, Marico, Nestle, Dabur India Ltd, Emami Ltd, Skm Egg Product",NSE/BSE,6,Paper & Computer ,"J.K Paper, West Coast Paper, HCL Tech, Tata Elxsi Ltd","We Work, Likhami Consulting Ltd","SBI, Kotak Bank, ICICI Bank","Thermax Ltd, Supreme Industries Ltd, Prince Pipes & Fittings Ltd, Astral Ltd, Finolex Industries Ltd, Time Technoplast Ltd,","Bayer CropScience Ltd, UPL Ltd, P I Industries Ltd, Sumitomo Chemical India Ltd, Sharda Cropchem Ltd, NACL Industries Ltd, Dhanuka Agritech Ltd","Indo Farm Equipment Ltd, Action Construction Equipment Ltd, Mahindra And Mahindra Ltd, SKF India Ltd ","Qualitek Labs Ltd, Syrma SGS Technology Ltd","AGI Greenpac Ltd, AMD Industries Ltd, Jindal Poly Films Ltd, Haldyn Glass Ltd","Snowman Logistics Ltd, Delhivery Ltd, Container Corporation Of India Ltd","VRL Logistics Ltd, Delhivery Ltd, Container Corporation Of India Ltd, Shadowfax Technologies Ltd, Blue Dart Express Ltd","Signpost India Ltd, Bright Outdoor Media Ltd, R K Swamy Ltd, Vertoz Ltd, Yaap Digital Ltd","Aditya Infotech Ltd, Forbes Precision Tools & Machine Parts Ltd, Polyplex Corporation Ltd, KRN Heat Exchanger and Refrigeration Ltd, Esab India Ltd, Inox India Ltd, HBL Engineering Ltd","Avenue Supermarts Ltd, V-Mart Retail Ltd, Vishal Mega Mart Ltd, Trent Ltd, Reliance Industries Ltd, Eternal Ltd, Swiggy Ltd, ","State Bank of India, HDFC Bank Ltd, Axis Bank Ltd, IndusInd Bank Ltd","EMS Ltd, Antony Waste Handling Cell Ltd, Effwa Infra & Research Ltd, Z-Tech (India) Ltd, Concord Enviro Systems Ltd, Organic Recycling Systems Ltd",EKI Energy Services Ltd,,,,,,,,,,,,,,,
0,8215424893,P-M-R-UHNI,Male/Female,"Sea, River, Mountain, Forest, Desert, Snow, City, Village",Cold String - Low Vibration,Hot String - High Vibration,Medium String - Static Vibration,0,Baby Birth,Pragnancy,3 Month,Hospital File,Health Care,"File, Paper & Medicine",Touch,"ITC, JK Paper, West Coast Paper Mills, Torrent, Sun, Mankind, GSK, Cipla, Dr. Readdy, Divis Lab, Zydus, Lupin, Glenmark, Biocon, Apollo, Sanofi, Alkem",NSE/BSE,17,Paper & Computer ,"J.K Paper, West Coast Paper, Reliance, HCL Tech, Tata Elxsi Ltd","Akums Drugs & Pharmaceuticals Ltd, Sanofi India Ltd","SBI, Kotak Bank, ICICI Bank, HDFC Bank","Aprameya Engineering Ltd, Sai Life Sciences Ltd, Rubicon Research Ltd, Neuland Laboratories Ltd, Granules India Ltd, Marksans Pharma Ltd, Innova Captab Ltd, Novartis India Ltd, Bajaj Healthcare Ltd","Acutaas Chemicals Ltd, Sanofi Consumer Healthcare India Ltd, Laxmi Dental Ltd, J B Chemicals & Pharmaceuticals Ltd, Emcure Pharmaceuticals Ltd, Everest Organics Ltd","Ajanta Pharma Ltd, OSEL Devices Ltd, Earkart Limited, Poly Medicure Ltd, Fischer Medical Ventures Ltd, Nureca Ltd","Q-Line Biotech Ltd, Alkem Laboratories Ltd","Tarsons Products Ltd, EPL Ltd, Uflex Ltd, Huhtamaki India Ltd, Arrow Greentech Ltd","Godrej Industries Ltd, Snowman Logistics Ltd, ","VRL Logistics Ltd, Delhivery Ltd, Container Corporation Of India Ltd, Shadowfax Technologies Ltd, Blue Dart Express Ltd","Signpost India Ltd, Bright Outdoor Media Ltd, R K Swamy Ltd, Vertoz Ltd, Yaap Digital Ltd","QMS Medical Allied Services Ltd, Hemant Surgical Industries Ltd, Vaidya Sane Ayurved Laboratories Ltd, Wockhardt Ltd, Mercury Laboratories Ltd, Haleos Labs Limited, Albert David Ltd","Vasa Denticity Ltd, Prevest Denpro Ltd","State Bank of India, HDFC Bank Ltd, Axis Bank Ltd, IndusInd Bank Ltd","Synergy Waste Management, Synergy Green Industries Ltd, Biotic Waste Solutions",EKI Energy Services Ltd,,,,,,,,,,,,,,,
0,8215424893,P-M-R-UHNI,Male/Female,"Sea, River, Mountain, Forest, Desert, Snow, City, Village",Cold String - Low Vibration,Hot String - High Vibration,Medium String - Static Vibration,0,Baby Birth,Pragnancy,4 Month,Learning,Education,"Books, Video","Listining, Observation, Think","ITC, JK Paper, West Coast Paper Mills, Jio, Airtel, Vi, Tata Teleservice",NSE/BSE,7,Paper & Computer ,"J.K Paper, West Coast Paper, Reliance, HCL Tech, TVS Electronics Ltd","We Work, Likhami Consulting Ltd","State Bank of India, Kotak Bank, Bank of Baroda","Ambuja Cement, UltraTech, Grasim, Jsw Steel, Asahi India Glass, Honeywell, Schneider Electric, KEI Industries, Polycab, HFCL Ltd, D-link (India) Ltd, NTPC, Adani Green, CG Power & Industrial, Thermax Ltd, Emmvee Photovoltaic Power Ltd","Trident Ltd, Pakka Ltd, Shree Ajit Pulp and Paper, Star Paper Mills, Seshasayee Paper & Boards, N R Agarwal Industries, DIC India Ltd, Alkosign, NIIT Learning Systems Ltd, Veranda Learning Solutions, Aditya Infotech Ltd","MPS Ltd, S Chand & Company, Repro India, Citizen Infoline, DOMS Industries, Navneet Education, Kokuyo Camlin, Flair Writing Industries, Linc","Qualitek Labs Ltd, Syrma SGS Technology Ltd","Gloster Ltd, Cheviot Company Ltd, Ludlow Jute & Specialities Ltd, ",Storage Technologies & Automation Ltd,"Physicswallah, Veranda Learning Solutions, Reliance, Airtel, Indus Tower","Signpost India Ltd, Bright Outdoor Media Ltd, R K Swamy Ltd, Vertoz Ltd, Yaap Digital Ltd","Kokuyo Camlin Ltd, DOMS Industries Ltd, Borosil Ltd, TVS Electronics Ltd, Rashi Peripherals Ltd, Moschip Technologies Ltd, NELCO Ltd, D-Link India Ltd, Control Print Ltd, ITC Ltd","Avenue Supermarts Ltd, V-Mart Retail Ltd, Vishal Mega Mart Ltd, Trent Ltd, Reliance Industries Ltd, ","State Bank of India, HDFC Bank Ltd, Axis Bank Ltd, IndusInd Bank Ltd",Ganesha Ecosphere Ltd,EKI Energy Services Ltd,,,,,,,,,,,,,,,
0,8215424893,P-M-R-UHNI,Male/Female,"Sea, River, Mountain, Forest, Desert, Snow, City, Village",Cold String - Low Vibration,Hot String - High Vibration,Medium String - Static Vibration,0,Baby Birth,Pragnancy,5 Month,Yoga,Sport,Yoga,Touch,"Campus Activewear Ltd, Toyam Sports Ltd, Relaxo Footwears Ltd",NSE/BSE,3,Paper & Computer ,"J.K Paper, West Coast Paper, HCL Tech, Tata Elxsi Ltd",eClerx Services Ltd,"SBI, Kotak Bank, ICICI Bank","Ambuja Cement, UltraTech, Grasim, Jsw Steel, Asahi India Glass, Honeywell, Schneider Electric, KEI Industries, Polycab, HFCL Ltd, D-link (India) Ltd, NTPC, Adani Green, CG Power & Industrial, Thermax Ltd, Emmvee Photovoltaic Power Ltd","Tinna Rubber & Infrastructure Ltd, Apcotex Industries Ltd, Rubfila International Ltd, Harrisons Malayalam Ltd, Gayatri Rubbers and Chemicals Ltd, Ameenji Rubber Ltd, ","ABB India Ltd, Hitachi Energy India Ltd, Siemens Ltd, GE Vernova T&D India Ltd, Jyoti CNC Automation Ltd, ","Qualitek Labs Ltd, Syrma SGS Technology Ltd",Storage Technologies & Automation Ltd,"Snowman Logistics Ltd, Delhivery Ltd, Container Corporation Of India Ltd","Allcargo Terminals Ltd, Starlog Enterprises Ltd, VMS Industries Ltd","Signpost India Ltd, Bright Outdoor Media Ltd, R K Swamy Ltd, Vertoz Ltd, Yaap Digital Ltd","Metro Brands Ltd, Relaxo Footwears Ltd, Bata India Ltd, Redtape Ltd, Campus Activewear Ltd, Sreeleathers Ltd, Liberty Shoes Ltd, Lehar Footwears Ltd, Brandman Retail Ltd, ","Meesho Ltd, RattanIndia Enterprises Ltd","State Bank of India, HDFC Bank Ltd, Axis Bank Ltd, IndusInd Bank Ltd",Horizon Reclaim (India) Ltd,EKI Energy Services Ltd,,,,,,,,,,,,,,,
0,8215424893,P-M-R-UHNI,Male/Female,"Sea, River, Mountain, Forest, Desert, Snow, City, Village",Cold String - Low Vibration,Hot String - High Vibration,Medium String - Static Vibration,0,Baby Birth,Pragnancy,6 Month,Sonography (or ultrasound),Health Care,Report,Touch,"ITC, JK Paper, West Coast Paper Mills, Torrent, Sun, Mankind, GSK, Cipla, Dr. Readdy, Divis Lab, Zydus, Lupin, Glenmark, Biocon, Apollo, Sanofi, Alkem",NSE/BSE,17,Paper & Computer ,"J.K Paper, West Coast Paper, Reliance, HCL Tech, Tata Elxsi Ltd","Akums Drugs & Pharmaceuticals Ltd, Sanofi India Ltd","SBI, Kotak Bank, ICICI Bank, HDFC Bank","Aprameya Engineering Ltd, Sai Life Sciences Ltd, Rubicon Research Ltd, Neuland Laboratories Ltd, Granules India Ltd, Marksans Pharma Ltd, Innova Captab Ltd, Novartis India Ltd, Bajaj Healthcare Ltd","Acutaas Chemicals Ltd, Sanofi Consumer Healthcare India Ltd, Laxmi Dental Ltd, J B Chemicals & Pharmaceuticals Ltd, Emcure Pharmaceuticals Ltd, Everest Organics Ltd","Ajanta Pharma Ltd, OSEL Devices Ltd, Earkart Limited, Poly Medicure Ltd, Fischer Medical Ventures Ltd, Nureca Ltd","Q-Line Biotech Ltd, Alkem Laboratories Ltd","Tarsons Products Ltd, EPL Ltd, Uflex Ltd, Huhtamaki India Ltd, Arrow Greentech Ltd","Godrej Industries Ltd, Snowman Logistics Ltd, ","VRL Logistics Ltd, Delhivery Ltd, Container Corporation Of India Ltd, Shadowfax Technologies Ltd, Blue Dart Express Ltd","Signpost India Ltd, Bright Outdoor Media Ltd, R K Swamy Ltd, Vertoz Ltd, Yaap Digital Ltd","QMS Medical Allied Services Ltd, Hemant Surgical Industries Ltd, Vaidya Sane Ayurved Laboratories Ltd, Wockhardt Ltd, Mercury Laboratories Ltd, Haleos Labs Limited, Albert David Ltd","Vasa Denticity Ltd, Prevest Denpro Ltd","State Bank of India, HDFC Bank Ltd, Axis Bank Ltd, IndusInd Bank Ltd","Synergy Waste Management, Synergy Green Industries Ltd, Biotic Waste Solutions",EKI Energy Services Ltd,,,,,,,,,,,,,,,
0,8215424893,P-M-R-UHNI,Male/Female,"Sea, River, Mountain, Forest, Desert, Snow, City, Village",Cold String - Low Vibration,Hot String - High Vibration,Medium String - Static Vibration,0,Baby Birth,Pragnancy,7 Month,Activity ,Sport,Home Activity & Walking,Touch,"Campus Activewear Ltd, Toyam Sports Ltd, Relaxo Footwears Ltd",NSE/BSE,3,Paper & Computer ,"J.K Paper, West Coast Paper, HCL Tech, Tata Elxsi Ltd",eClerx Services Ltd,"HDFC Bank, Kotak Bank, Bank of Baroda","Ambuja Cement, UltraTech, Grasim, Jsw Steel, Asahi India Glass, Honeywell, Schneider Electric, KEI Industries, Polycab, HFCL Ltd, D-link (India) Ltd, NTPC, Adani Green, CG Power & Industrial, Thermax Ltd, Emmvee Photovoltaic Power Ltd","Rishiroop Ltd, Elgi Rubber Company Ltd","ABB India Ltd, Hitachi Energy India Ltd, Siemens Ltd, GE Vernova T&D India Ltd, Jyoti CNC Automation Ltd, ","Qualitek Labs Ltd, Syrma SGS Technology Ltd","AMD Industries Ltd, Jindal Poly Films Ltd","Snowman Logistics Ltd, Delhivery Ltd, Container Corporation Of India Ltd","VRL Logistics Ltd, Delhivery Ltd, Container Corporation Of India Ltd, Shadowfax Technologies Ltd, Blue Dart Express Ltd","Signpost India Ltd, Bright Outdoor Media Ltd, R K Swamy Ltd, Vertoz Ltd, Yaap Digital Ltd","Khadim India Ltd, Sarup Industries Ltd","Avenue Supermarts Ltd, V-Mart Retail Ltd, Vishal Mega Mart Ltd, Trent Ltd, Reliance Industries Ltd, ","State Bank of India, HDFC Bank Ltd, Axis Bank Ltd, IndusInd Bank Ltd",Lead Reclaim and Rubber Products Ltd,EKI Energy Services Ltd,,,,,,,,,,,,,,,
0,8215424893,P-M-R-UHNI,Male/Female,"Sea, River, Mountain, Forest, Desert, Snow, City, Village",Cold String - Low Vibration,Hot String - High Vibration,Medium String - Static Vibration,0,Baby Birth,Pragnancy,8 Month,Sonography (or ultrasound),Health Care,Report,Touch,"ITC, JK Paper, West Coast Paper Mills, Torrent, Sun, Mankind, GSK, Cipla, Dr. Readdy, Divis Lab, Zydus, Lupin, Glenmark, Biocon, Apollo, Sanofi, Alkem",NSE/BSE,17,Paper & Computer ,"J.K Paper, West Coast Paper, Reliance, HCL Tech, Tata Elxsi Ltd","Akums Drugs & Pharmaceuticals Ltd, Sanofi India Ltd","SBI, Kotak Bank, ICICI Bank, HDFC Bank","Aprameya Engineering Ltd, Sai Life Sciences Ltd, Rubicon Research Ltd, Neuland Laboratories Ltd, Granules India Ltd, Marksans Pharma Ltd, Innova Captab Ltd, Novartis India Ltd, Bajaj Healthcare Ltd","Acutaas Chemicals Ltd, Sanofi Consumer Healthcare India Ltd, Laxmi Dental Ltd, J B Chemicals & Pharmaceuticals Ltd, Emcure Pharmaceuticals Ltd, Everest Organics Ltd","Ajanta Pharma Ltd, OSEL Devices Ltd, Earkart Limited, Poly Medicure Ltd, Fischer Medical Ventures Ltd, Nureca Ltd","Q-Line Biotech Ltd, Alkem Laboratories Ltd","Tarsons Products Ltd, EPL Ltd, Uflex Ltd, Huhtamaki India Ltd, Arrow Greentech Ltd","Godrej Industries Ltd, Snowman Logistics Ltd, ","VRL Logistics Ltd, Delhivery Ltd, Container Corporation Of India Ltd, Shadowfax Technologies Ltd, Blue Dart Express Ltd","Signpost India Ltd, Bright Outdoor Media Ltd, R K Swamy Ltd, Vertoz Ltd, Yaap Digital Ltd","QMS Medical Allied Services Ltd, Hemant Surgical Industries Ltd, Vaidya Sane Ayurved Laboratories Ltd, Wockhardt Ltd, Mercury Laboratories Ltd, Haleos Labs Limited, Albert David Ltd","Vasa Denticity Ltd, Prevest Denpro Ltd","State Bank of India, HDFC Bank Ltd, Axis Bank Ltd, IndusInd Bank Ltd","Synergy Waste Management, Synergy Green Industries Ltd, Biotic Waste Solutions",EKI Energy Services Ltd,,,,,,,,,,,,,,,
0,8215424893,P-M-R-UHNI,Male/Female,"Sea, River, Mountain, Forest, Desert, Snow, City, Village",Cold String - Low Vibration,Hot String - High Vibration,Medium String - Static Vibration,0,Baby Birth,Pragnancy,9 Month,Birth & Operation,Health Care,Celebration & Accessories New Child,Touch,"ITC, Marico, Nestle, Dabur India Ltd, Emami Ltd, Skm Egg Product",NSE/BSE,6,Paper & Computer ,"J.K Paper, West Coast Paper, Reliance, HCL Tech, Tata Elxsi Ltd","Akums Drugs & Pharmaceuticals Ltd, Sanofi India Ltd","SBI, Kotak Bank, ICICI Bank, HDFC Bank","Aprameya Engineering Ltd, Sai Life Sciences Ltd, Rubicon Research Ltd, Neuland Laboratories Ltd, Granules India Ltd, Marksans Pharma Ltd, Innova Captab Ltd, Novartis India Ltd, Bajaj Healthcare Ltd","Acutaas Chemicals Ltd, Sanofi Consumer Healthcare India Ltd, Laxmi Dental Ltd, J B Chemicals & Pharmaceuticals Ltd, Emcure Pharmaceuticals Ltd, Everest Organics Ltd","Ajanta Pharma Ltd, OSEL Devices Ltd, Earkart Limited, Poly Medicure Ltd, Fischer Medical Ventures Ltd, Nureca Ltd","Q-Line Biotech Ltd, Alkem Laboratories Ltd","Tarsons Products Ltd, EPL Ltd, Uflex Ltd, Huhtamaki India Ltd, Arrow Greentech Ltd","Godrej Industries Ltd, Snowman Logistics Ltd, ","VRL Logistics Ltd, Delhivery Ltd, Container Corporation Of India Ltd, Shadowfax Technologies Ltd, Blue Dart Express Ltd","Signpost India Ltd, Bright Outdoor Media Ltd, R K Swamy Ltd, Vertoz Ltd, Yaap Digital Ltd","QMS Medical Allied Services Ltd, Hemant Surgical Industries Ltd, Vaidya Sane Ayurved Laboratories Ltd, Wockhardt Ltd, Mercury Laboratories Ltd, Haleos Labs Limited, Albert David Ltd","Vasa Denticity Ltd, Prevest Denpro Ltd","State Bank of India, HDFC Bank Ltd, Axis Bank Ltd, IndusInd Bank Ltd","Synergy Waste Management, Synergy Green Industries Ltd, Biotic Waste Solutions",EKI Energy Services Ltd,,,,,,,,,,,,,,,
1,8215424893,P-M-R-UHNI,Male/Female,"Sea, River, Mountain, Forest, Desert, Snow, City, Village",Cold String - Low Vibration,Hot String - High Vibration,Medium String - Static Vibration,0 to 1,ABC,Childhood,Min- 10m to Max- 45m,Wakeup & Play,"Entertainment, Sport & Media",Toy,"Touch, Observation, Think","K. V. Toys India Ltd, OK Play India Ltd, Striders Impex Ltd, COSCO (India) Ltd",NSE/BSE,4,Paper & Computer ,"J.K Paper, West Coast Paper, Reliance, HCL Tech, TVS Electronics Ltd","We Work, Likhami Consulting Ltd","State Bank of India, Kotak Bank, Bank of Baroda","Ambuja Cement, Jsw Steel, Asahi India Glass, Honeywell, Schneider Electric, KEI Industries, Astral Ltd, HFCL Ltd, D-link (India) Ltd, NTPC, Adani Green, CG Power & Industrial, Thermax Ltd, Emmvee Photovoltaic Power Ltd",Kingfa Science & Technology,"Shaily Engineering Plastics, ","Qualitek Labs Ltd, Syrma SGS Technology Ltd",Shish Industries Ltd,Storage Technologies & Automation Ltd,Delhivery Ltd,"Signpost India Ltd, Bright Outdoor Media Ltd, R K Swamy Ltd, Vertoz Ltd, Yaap Digital Ltd",Master Components,"Avenue Supermarts Ltd, V-Mart Retail Ltd, Brainbees Solutions Ltd, Trent Ltd, Reliance Industries Ltd, ","State Bank of India, HDFC Bank Ltd, Axis Bank Ltd, IndusInd Bank Ltd","Antony Waste Handling Cell Ltd, Gravita India Ltd",EKI Energy Services Ltd,,,,,,,,,,,,,,,
